frame_index,time_s,raw_diff,smooth_diff,progress
220,6.102079,10428353.000,10428339.000,0.991649
221,6.129816,10428339.000,10428339.000,0.991649
222,6.157553,10428353.000,10428353.000,0.991650
223,6.185290,10428339.000,10428339.000,0.991649
224,6.213026,10428353.000,10428353.000,0.991650
225,6.240763,10428339.000,10428339.000,0.991649
226,6.268500,10428353.000,10428353.000,0.991650
227,6.296237,10428339.000,10428339.000,0.991649
228,6.323973,10428353.000,10428353.000,0.991650
229,6.351710,10428339.000,10428339.000,0.991649
230,6.379447,10428353.000,10428353.000,0.991650
231,6.407183,10428339.000,10428340.000,0.991649
232,6.434920,10428354.000,10428353.000,0.991650
233,6.462657,10428340.000,10428340.000,0.991649
234,6.490394,10428354.000,10428354.000,0.991650
235,6.518130,10428340.000,10428340.000,0.991649
236,6.545867,10428354.000,10428354.000,0.991650
237,6.573604,10428340.000,10428340.000,0.991649
238,6.601340,10428354.000,10428354.000,0.991650
239,6.629077,10428340.000,10428340.000,0.991649
240,6.656814,10428354.000,10428354.000,0.991650
241,6.684551,10428340.000,10428340.000,0.991649
242,6.712287,10428354.000,10428354.000,0.991650
243,6.740024,10428340.000,10428340.000,0.991649
244,6.767761,10428354.000,10428354.000,0.991650
245,6.795498,10428340.000,10428340.000,0.991649
246,6.823234,10428354.000,10428354.000,0.991650
247,6.850971,10428340.000,10428340.000,0.991649
248,6.878708,10428354.000,10428340.000,0.991649
