frame_index,time_s,raw_diff,smooth_diff,progress
250,7.238737,71549.000,71549.000,0.006807
251,7.267692,80144.000,77319.000,0.007356
252,7.296647,92381.000,77319.000,0.007356
253,7.325602,77319.000,77319.000,0.007356
254,7.354557,66980.000,66980.000,0.006372
255,7.383512,65216.000,65235.000,0.006206
256,7.412467,65235.000,65235.000,0.006206
257,7.441422,65216.000,65216.000,0.006204
258,7.470377,65235.000,65235.000,0.006206
259,7.499332,65216.000,65216.000,0.006204
260,7.528287,65235.000,65216.000,0.006204
261,7.557242,64513.000,64532.000,0.006139
262,7.586197,64532.000,64532.000,0.006139
263,7.615151,64513.000,64513.000,0.006137
264,7.644106,64532.000,64532.000,0.006139
265,7.673061,64513.000,64513.000,0.006137
266,7.702016,64532.000,64532.000,0.006139
267,7.730971,64513.000,64513.000,0.006137
268,7.759926,64532.000,64532.000,0.006139
269,7.788881,64513.000,64513.000,0.006137
270,7.817836,64532.000,64532.000,0.006139
271,7.846791,64513.000,64513.000,0.006137
272,7.875746,64532.000,64532.000,0.006139
273,7.904701,64513.000,64513.000,0.006137
274,7.933656,64532.000,64532.000,0.006139
275,7.962611,64513.000,64513.000,0.006137
276,7.991566,64532.000,64532.000,0.006139
277,8.020521,64513.000,64513.000,0.006137
278,8.049476,64532.000,64532.000,0.006139
279,8.078431,64513.000,64513.000,0.006137
280,8.107386,64532.000,64532.000,0.006139
281,8.136341,64513.000,64513.000,0.006137
282,8.165296,64532.000,64532.000,0.006139
283,8.194250,64513.000,64513.000,0.006137
284,8.223205,64532.000,64532.000,0.006139
285,8.252160,64513.000,64513.000,0.006137
286,8.281115,64532.000,64532.000,0.006139
287,8.310070,64513.000,64532.000,0.006139
288,8.339025,104821.000,101524.000,0.009658
289,8.367980,104810.000,101524.000,0.009658
290,8.396935,101524.000,101524.000,0.009658
291,8.425890,98279.000,98279.000,0.009350
292,8.454845,94846.000,94846.000,0.009023
293,8.483800,91514.000,94846.000,0.009023
294,8.512755,88282.000,94846.000,0.009023
295,8.541710,9449767.000,9173009.000,0.872657
296,8.570665,9449986.000,9173224.000,0.872678
297,8.599620,9173009.000,9173224.000,0.872678
298,8.628575,9173224.000,9173009.000,0.872657
299,8.657530,8928949.000,9173009.000,0.872657
300,8.686485,8928560.000,9173224.000,0.872678
301,8.715440,9694016.000,9693624.000,0.922185
302,8.744394,9693624.000,9694016.000,0.922222
303,8.773349,9841949.000,9841949.000,0.936296
304,8.802304,9979455.000,9979455.000,0.949377
305,8.831259,10083865.000,10083865.000,0.959310
306,8.860214,10218901.000,10218901.000,0.972156
307,8.889169,10225486.000,10225486.000,0.972783
308,8.918124,10330871.000,10330871.000,0.982808
309,8.947079,10355963.000,10355963.000,0.985195
310,8.976034,10379607.000,10379607.000,0.987445
311,9.004989,10420793.000,10420793.000,0.991363
312,9.033944,10430337.000,10430337.000,0.992271
313,9.062899,10474496.000,10442850.000,0.993461
314,9.091854,10478977.000,10442850.000,0.993461
315,9.120809,10442850.000,10442850.000,0.993461
316,9.149764,10441395.000,10441395.000,0.993323
317,9.178719,10437192.000,10437791.000,0.992980
318,9.207674,10437791.000,10437192.000,0.992923
319,9.236629,10434501.000,10434501.000,0.992667
320,9.265584,10433575.000,10433970.000,0.992616
